"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","8","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","76","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","117","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","76","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","13","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","33","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","19","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","13","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","47","1","0.000000","0","0"
"/Game/ThirdPerson/Animation/Textures/lambert2.lambert2","0","0","52","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/SmallBuilding.SmallBuilding","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/ShootingCoverGround.ShootingCoverGround","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/CoverRoofsMAT.CoverRoofsMAT","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/BigBuilding.BigBuilding","0","0","19","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","108","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","93","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","93","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","93","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","38","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","17","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","17","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","99","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","10","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","117","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","61","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","141","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","225","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1403","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","90","6","0.000000","0","13"
"/Game/ThirdPerson/Animation/Textures/Metallic_Orange_Painted.Metallic_Orange_Painted","0","0","52","1","0.000000","0","0"
"/Game/ThirdPerson/Animation/Textures/Gun_Detail_Not_Base_Colour.Gun_Detail_Not_Base_Colour","0","0","52","1","0.000000","0","0"
"/Game/3DModels/SmallBuilding/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PressurePlate/Cube/Platfor.Platfor","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PressurePlate/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/Platform/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PlanetTextures/6/6.6","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PlanetTextures/4/4.4","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PlanetTextures/3/3.3","0","0","19","1","0.000000","0","0"
